id,notification_number,issue_date,effective_date,issuing_authority,ministry,department,tax_type,document_type,category,title,subject,total_pages,status,metadata,created_at,updated_at
567bc89c-af85-45a6-a9ea-1bc5b134d300,31/2017 - Central Tax,2017-09-11,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Returns,Extend Time Limit Filing Gstr6,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-09-11"",""issuing_authority"":""CBIC"",""original_filename"":""ExtendTimeLimit_FilingGSTR6_11Sep2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""168"",""3"",""39""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
5886f782-a6c0-4844-8d0f-ef52d253eba1,65/2017 - Central Tax,2017-11-15,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Exemptions,Expempt Suppliers Ecomplatform Obtaining Compulsoryregistration,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-11-15"",""issuing_authority"":""CBIC"",""original_filename"":""Expempt_suppliers_ecomplatform_obtaining_compulsoryregistration_15Nov2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""23"",""3"",""52"",""9""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
5a9be685-f9ef-4d04-af78-5d1493f751d6,57/2017 - Central Tax,2017-11-15,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Returns,Quaterly Furnishing Form Gstr1 Aggre Turnover Upto1.5cr,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-11-15"",""issuing_authority"":""CBIC"",""original_filename"":""QuaterlyFurnishing_FormGSTR1_aggreTurnover_upto1.5cr_15Nov2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""148"",""3"",""38"",""39""]}",2026-02-08 21:37:51.909528+00,2026-02-08 21:37:51.909528+00
5b7d2273-04a9-4aab-95e7-aa26c73beab1,73/2017 - Central Tax,2017-12-29,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Returns,Late Fee Waviever Form Gstr4,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-12-29"",""issuing_authority"":""CBIC"",""original_filename"":""Late_fee_waviever_formGSTR4_29Dec2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""128"",""3"",""47""]}",2026-02-08 21:37:51.909528+00,2026-02-08 21:37:51.909528+00
5d8fb5e3-8255-4f8f-88f7-8bc0f8c2e721,69/2017 - Central Tax,2017-12-21,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Returns,Extend Time Limit Form5a,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-12-21"",""issuing_authority"":""CBIC"",""original_filename"":""Extend_time_limit_form5A_21Dec2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""14"",""168"",""20"",""3"",""39""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
5e61bad2-7f4f-43dd-bc3e-93055321d2f3,1/2017 - Central Tax,2017-06-19,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,General,Bring Certain Sections Of Cgstinto Force,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-06-19"",""issuing_authority"":""CBIC"",""original_filename"":""BringCertainSectionsOfCGSTIntoForce_19Jun2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date"",""category defaulted to General""],""referenced_sections"":[""1"",""3""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
60014dc5-459d-4f5d-8244-3f9efd3fa181,32/2017 - Central Tax,2017-09-15,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Exemptions,Exemption Casual Taxable Person Handicraft Goods Registration 15sept2017,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-09-15"",""issuing_authority"":""CBIC"",""original_filename"":""Exemption_casualTaxablePerson_handicraftGoods_registration_15Sept2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""23"",""3""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
614a9dfc-f54b-4866-b579-56fd551797f6,63/2017 - Central Tax,2017-11-15,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,General,Extend Due Date Submission Details Form Gstitc04,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-11-15"",""issuing_authority"":""CBIC"",""original_filename"":""extend_DueDate_submissionDetails_formGSTITC04_15Nov2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date"",""category defaulted to General""],""referenced_sections"":[""168"",""3""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
641d0b8c-9657-4717-a54c-02a099fc2cc2,72/2017 - Central Tax,2017-12-29,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Returns,Due Date Extension Gstr1 Turnover Above1.5cr,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-12-29"",""issuing_authority"":""CBIC"",""original_filename"":""DueDate_extension_GSTR1_turnover_Above1.5cr_29Dec2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""168"",""3"",""37"",""38"",""39""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
68be7397-b62a-4ac6-a370-e1109c312499,45/2017 - Central Tax,2017-10-13,,CBIC,Ministry of Finance,Department of Revenue,GST,Notification,Input Tax Credit,Amend Cgstrules,,,active,"{""tax_type"":""GST"",""effective_date"":""2017-10-13"",""issuing_authority"":""CBIC"",""original_filename"":""AmendCGSTRules_13Oct2017.pdf"",""extraction_warnings"":[""effective_date defaulted to issue_date""],""referenced_sections"":[""10"",""164"",""3""]}",2026-02-08 21:37:49.576666+00,2026-02-08 21:37:49.576666+00
